celltype,MajorCelltype
Bcell,lymphocyte
Bcell_plasma,lymphocyte
CD4,lymphocyte
CD8,lymphocyte
CD8_6_1_3,lymphocyte
NKT,lymphocyte
Tcell_prolif,lymphocyte
Treg,lymphocyte
Granulocyte,granulocyte
DC,DC
Monocyte,monocyte
Mac_5_1_2,macrophage
Mac_5_1_3,macrophage
Mac_prolif,macrophage
Mg_1_1,microglia
Mg_1_2,microglia
Mg_1_3,microglia
Mg_4_1,microglia
Mg_prolif,microglia
endothelial,endothelial
stromal cell,stromal cell
TC_mesnh,tumor cell
TC_mesh,tumor cell
TC_prolif,tumor cell
TC_AC,tumor cell
TC_NPC,tumor cell
TC_OPC,tumor cell
TC_oligo,tumor cell
Oligo_2_1,oligodendrocyte
Oligo_2_2,oligodendrocyte
Oligo_2_3_1,oligodendrocyte
Oligo_2_3_2,oligodendrocyte
